date,WSPM,RAIN,DEWP,PRES,TEMP,O3,CO,NO2,SO2,PM10
2013-03-01 00:00:00,2.0,0.0,-19.0,1021.9,0.3,62.0,200.0,17.0,6.0,9.0
2013-03-01 01:00:00,4.4,0.0,-19.3,1022.4,-0.1,66.0,200.0,14.0,7.0,11.0
2013-03-01 02:00:00,4.7,0.0,-19.7,1022.6,-0.6,59.0,200.0,16.0,3.0,8.0
2013-03-01 03:00:00,2.6,0.0,-20.9,1023.5,-0.7,36.0,300.0,16.0,3.0,8.0
2013-03-01 04:00:00,2.5,0.0,-21.7,1024.1,-0.9,36.0,300.0,8.0,3.0,8.0
2013-03-01 05:00:00,2.0,0.0,-21.1,1024.7,-1.6,64.0,200.0,8.0,4.0,10.0
2013-03-01 06:00:00,2.3,0.0,-20.3,1025.4,-2.4,61.0,300.0,13.0,6.0,8.0
2013-03-01 07:00:00,2.0,0.0,-19.9,1026.7,-0.8,54.0,300.0,20.0,8.0,8.0
2013-03-01 08:00:00,2.7,0.0,-19.4,1027.3,0.4,50.0,300.0,23.0,9.0,6.0
2013-03-01 09:00:00,2.9,0.0,-19.7,1027.4,1.5,56.0,300.0,18.0,10.0,6.0
2013-03-01 10:00:00,4.8,0.0,-21.2,1027.3,2.1,61.0,300.0,15.0,11.0,6.0
2013-03-01 11:00:00,4.1,0.0,-21.1,1027.2,3.1,62.0,300.0,14.0,9.0,6.0
2013-03-01 12:00:00,1.6,0.0,-20.6,1026.3,4.7,67.0,300.0,10.0,8.0,6.0
2013-03-01 13:00:00,3.1,0.0,-20.0,1025.2,5.5,70.0,300.0,9.0,7.0,9.0
2013-03-01 14:00:00,2.1,0.0,-19.9,1024.9,6.6,72.0,300.0,8.0,7.0,14.0
2013-03-01 15:00:00,2.4,0.0,-19.5,1024.7,6.1,73.0,200.0,7.0,5.0,14.0
2013-03-01 16:00:00,3.3,0.0,-18.8,1024.7,5.9,72.0,300.0,9.0,7.0,17.0
2013-03-01 17:00:00,2.0,0.0,-19.3,1025.3,5.3,67.0,300.0,14.0,8.0,18.0
2013-03-01 18:00:00,2.2,0.0,-19.5,1026.4,4.1,58.0,400.0,20.0,9.0,18.0
2013-03-01 19:00:00,2.1,0.0,-18.9,1027.2,3.2,50.0,500.0,29.0,7.0,16.0
2013-03-01 20:00:00,1.9,0.0,-18.8,1028.2,2.6,47.0,500.0,29.0,6.0,12.0
2013-03-01 21:00:00,1.1,0.0,-17.9,1029.2,2.2,44.0,500.0,31.0,6.0,12.0
2013-03-01 22:00:00,2.0,0.0,-18.1,1029.5,2.0,34.0,500.0,39.0,11.0,13.0
2013-03-01 23:00:00,1.8,0.0,-18.4,1029.6,1.0,31.0,500.0,41.0,14.0,15.0
2013-03-02 00:00:00,1.4,0.0,-18.3,1030.2,0.5,39.0,400.0,35.0,11.0,10.0
2013-03-02 01:00:00,1.0,0.0,-17.5,1030.2,-0.3,40.0,400.0,33.0,9.0,8.0
2013-03-02 02:00:00,0.8,0.0,-17.0,1029.6,-1.2,44.0,300.0,29.0,9.0,6.0
2013-03-02 03:00:00,0.1,0.0,-14.9,1029.7,-2.9,43.0,400.0,29.0,9.0,6.0
2013-03-02 04:00:00,0.2,0.0,-15.5,1029.8,-2.4,41.0,400.0,30.0,8.0,6.0
2013-03-02 05:00:00,1.0,0.0,-17.9,1029.2,-1.2,57.0,300.0,15.0,6.0,8.0
2013-03-02 06:00:00,1.5,0.0,-17.9,1028.5,-1.2,37.0,400.0,31.0,10.0,8.0
2013-03-02 07:00:00,1.2,0.0,-16.1,1029.2,-1.1,8.0,600.0,61.0,16.0,6.0
2013-03-02 08:00:00,1.3,0.0,-16.8,1028.8,0.0,17.0,500.0,53.0,17.0,7.0
2013-03-02 09:00:00,1.0,0.0,-16.8,1028.9,1.1,23.0,500.0,50.0,17.0,11.0
2013-03-02 10:00:00,2.0,0.0,-17.1,1028.4,1.9,20.0,600.0,52.0,22.0,14.0
2013-03-02 11:00:00,2.1,0.0,-17.7,1027.5,2.5,15.0,1000.0,61.0,20.0,18.0
2013-03-02 12:00:00,1.8,0.0,-17.6,1026.2,3.3,29.0,700.0,47.0,19.0,25.0
2013-03-02 13:00:00,1.0,0.0,-16.8,1024.8,4.2,43.0,600.0,35.0,18.0,28.0
2013-03-02 14:00:00,1.3,0.0,-16.3,1024.1,4.1,44.0,800.0,36.0,23.0,27.0
2013-03-02 15:00:00,1.9,0.0,-15.9,1023.5,3.9,40.0,1100.0,43.0,44.0,37.0
2013-03-02 16:00:00,1.0,0.0,-15.0,1022.8,3.8,38.0,1100.0,44.0,46.0,56.0
2013-03-02 17:00:00,1.1,0.0,-14.1,1022.7,3.1,37.0,1100.0,46.0,48.0,68.0
2013-03-02 18:00:00,1.3,0.0,-13.7,1022.5,2.6,31.0,1100.0,52.0,51.0,80.0
2013-03-02 19:00:00,0.5,0.0,-12.8,1022.2,0.6,14.0,1300.0,67.0,53.0,88.0
2013-03-02 20:00:00,1.1,0.0,-11.0,1022.3,-0.2,2.0,1600.0,83.0,63.0,96.0
2013-03-02 21:00:00,0.2,0.0,-10.9,1021.8,-0.1,2.0,1800.0,91.0,72.0,118.0
2013-03-02 22:00:00,0.6,0.0,-11.7,1021.3,-2.4,2.0,2000.0,93.0,82.0,125.0
2013-03-02 23:00:00,0.1,0.0,-12.1,1020.3,-2.3,2.0,2100.0,92.0,70.0,127.0
2013-03-03 00:00:00,1.3,0.0,-14.2,1019.4,-0.6,2.0,2100.0,92.0,56.0,108.0
2013-03-03 01:00:00,1.4,0.0,-14.5,1018.7,-0.1,2.0,2299.0,94.0,62.0,93.0
2013-03-03 02:00:00,0.6,0.0,-13.4,1017.3,-2.8,2.0,2600.0,92.0,68.0,109.0
2013-03-03 03:00:00,0.4,0.0,-11.7,1016.6,-4.4,2.0,2700.0,89.0,75.0,120.0
2013-03-03 04:00:00,0.7,0.0,-11.5,1015.9,-5.1,2.0,2799.0,89.0,76.0,118.0
2013-03-03 05:00:00,1.0,0.0,-11.2,1015.7,-5.3,2.0,2000.0,86.0,65.0,109.0
2013-03-03 06:00:00,1.0,0.0,-11.1,1015.6,-5.8,2.0,2000.0,86.0,60.0,94.0
2013-03-03 07:00:00,0.6,0.0,-10.3,1015.8,-3.2,2.0,2000.0,86.0,69.0,95.0
2013-03-03 08:00:00,0.6,0.0,-12.5,1015.1,1.7,2.0,2399.0,86.0,73.0,101.0
2013-03-03 09:00:00,0.5,0.0,-12.6,1015.0,3.8,2.0,2799.0,91.0,83.0,119.0
2013-03-03 10:00:00,0.8,0.0,-12.1,1014.1,7.2,2.0,2600.0,95.0,84.0,127.0
2013-03-03 11:00:00,2.3,0.0,-11.7,1012.8,11.1,4.0,2600.0,102.0,88.0,129.0
2013-03-03 12:00:00,1.9,0.0,-12.5,1011.9,12.7,6.0,3000.0,115.0,79.0,143.0
2013-03-03 13:00:00,2.3,0.0,-11.7,1010.6,13.7,18.0,2000.0,92.0,54.0,152.0
2013-03-03 14:00:00,2.3,0.0,-12.6,1010.2,14.7,35.0,1800.0,86.0,52.0,143.0
2013-03-03 15:00:00,2.8,0.0,-12.3,1009.6,15.0,55.0,1300.0,58.0,43.0,169.0
2013-03-03 16:00:00,3.2,0.0,-9.6,1009.8,13.6,60.0,1000.0,46.0,29.0,146.0
2013-03-03 17:00:00,1.5,0.0,-8.9,1010.4,11.6,50.0,1000.0,57.0,36.0,130.0
2013-03-03 18:00:00,1.3,0.0,-8.0,1011.4,8.6,16.0,1600.0,102.0,65.0,159.0
2013-03-03 19:00:00,2.9,0.0,-12.3,1012.4,9.6,2.0,1800.0,116.0,66.0,225.0
2013-03-03 20:00:00,0.8,0.0,-13.0,1012.6,12.1,2.0,2200.0,120.0,69.0,242.0
2013-03-03 21:00:00,0.2,0.0,-12.4,1012.8,5.1,2.0,1100.0,80.0,23.0,191.0
2013-03-03 22:00:00,1.0,0.0,-10.9,1012.9,3.5,2.0,800.0,73.0,14.0,68.0
2013-03-03 23:00:00,1.9,0.0,-11.7,1013.8,9.6,2.0,1600.0,89.0,20.0,41.0
2013-03-04 00:00:00,2.6,0.0,-11.7,1014.8,9.6,2.0,2000.0,85.0,21.0,46.0
2013-03-04 01:00:00,2.1,0.0,-11.8,1015.6,8.8,2.0,1200.0,73.0,31.0,36.0
2013-03-04 02:00:00,2.1,0.0,-11.6,1016.1,7.8,44.0,500.0,25.0,10.0,31.0
2013-03-04 03:00:00,2.8,0.0,-11.7,1015.9,7.6,56.0,400.0,17.0,5.0,27.0
2013-03-04 04:00:00,0.4,0.0,-12.2,1016.8,4.8,37.0,500.0,32.0,12.0,16.0
2013-03-04 05:00:00,1.0,0.0,-11.6,1017.4,1.9,44.0,400.0,23.0,15.0,22.0
2013-03-04 06:00:00,0.0,0.0,-10.5,1018.1,1.0,33.0,600.0,32.0,18.0,24.0
2013-03-04 07:00:00,0.8,0.0,-11.1,1019.0,6.6,11.0,900.0,53.0,22.0,22.0
2013-03-04 08:00:00,2.0,0.0,-11.1,1019.8,9.0,8.0,1100.0,61.0,32.0,28.0
2013-03-04 09:00:00,2.5,0.0,-12.7,1019.8,10.7,36.0,600.0,37.0,22.0,29.0
