date,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyViibility,HourlyWindSpeed
2017-01-01 00:50:00,29.38,28,30,93.0,0.37,7.0
2017-01-01 01:50:00,29.35,30,30,100.0,1.18,10.0
2017-01-01 02:50:00,29.35,30,32,93.0,0.81,10.0
2017-01-01 03:50:00,29.35,28,30,93.0,2.17,5.0
2017-01-01 04:50:00,29.38,30,32,93.0,6.21,5.0
2017-01-01 05:50:00,29.38,28,30,93.0,6.21,6.0
2017-01-01 06:50:00,29.41,28,30,93.0,6.21,3.0
2017-01-01 07:50:00,29.44,25,25,100.0,0.22,1.0
2017-01-01 08:50:00,29.47,25,25,100.0,4.97,2.0
2017-01-01 09:50:00,29.50,27,27,100.0,6.21,3.0
2017-01-01 10:50:00,29.53,27,28,93.0,6.21,5.0
2017-01-01 11:50:00,29.56,28,30,93.0,6.21,6.0
2017-01-01 12:50:00,29.59,28,30,93.0,5.59,2.0
2017-01-01 13:50:00,29.59,28,30,93.0,4.97,2.0
2017-01-01 14:50:00,29.62,28,30,93.0,1.24,7.0
2017-01-01 15:50:00,29.65,28,28,100.0,1.12,2.0
2017-01-01 16:50:00,29.65,28,28,100.0,4.97,0.0
2017-01-01 17:50:00,29.68,27,28,93.0,6.21,2.0
2017-01-01 18:50:00,29.68,23,25,93.0,6.21,2.0
2017-01-01 19:50:00,29.68,21,25,86.0,6.21,2.0
2017-01-01 20:50:00,29.71,18,21,86.0,6.21,6.0
2017-01-01 21:50:00,29.71,14,16,93.0,6.21,7.0
2017-01-01 22:50:00,29.71,9,10,92.0,6.21,3.0
2017-01-01 23:50:00,29.71,9,10,92.0,6.21,0.0
2017-01-02 00:50:00,29.74,3,7,85.0,6.21,0.0
2017-01-02 01:50:00,29.74,9,10,92.0,6.21,1.0
2017-01-02 02:50:00,29.74,7,9,92.0,6.21,2.0
2017-01-02 03:50:00,29.74,1,5,85.0,6.21,0.0
2017-01-02 04:50:00,29.74,5,7,92.0,6.21,0.0
2017-01-02 05:50:00,29.74,1,3,92.0,6.21,1.0
2017-01-02 06:50:00,29.74,7,9,92.0,6.21,3.0
2017-01-02 07:50:00,29.74,5,7,92.0,6.21,0.0
2017-01-02 08:50:00,29.74,3,7,85.0,6.21,0.0
2017-01-02 09:50:00,29.74,5,7,92.0,6.21,1.0
2017-01-02 10:50:00,29.74,7,9,92.0,6.21,2.0
2017-01-02 11:50:00,29.74,5,7,92.0,6.21,2.0
2017-01-02 12:50:00,29.74,1,3,92.0,6.21,0.0
2017-01-02 13:50:00,29.74,0,3,85.0,6.21,0.0
2017-01-02 14:50:00,29.74,-4,0,84.0,6.21,1.0
2017-01-02 15:50:00,29.71,-4,-2,92.0,6.21,0.0
2017-01-02 16:50:00,29.71,-4,0,84.0,6.21,0.0
2017-01-02 17:50:00,29.71,-8,-4,84.0,6.21,0.0
2017-01-02 18:50:00,29.68,-8,-4,84.0,6.21,1.0
2017-01-02 19:50:00,29.68,-9,-6,84.0,6.21,1.0
2017-01-02 20:50:00,29.68,-11,-8,84.0,6.21,1.0
2017-01-02 21:50:00,29.68,-6,-4,92.0,6.21,0.0
2017-01-02 22:50:00,29.65,-11,-8,84.0,6.21,0.0
2017-01-02 23:50:00,29.65,-11,-8,84.0,0.75,0.0
2017-01-03 00:50:00,29.62,-13,-9,84.0,6.21,1.0
2017-01-03 01:50:00,29.62,-15,-11,84.0,6.21,0.0
2017-01-03 02:50:00,29.59,-15,-11,84.0,6.21,0.0
2017-01-03 03:50:00,29.59,-17,-13,83.0,6.21,0.0
2017-01-03 04:50:00,29.56,-18,-13,76.0,6.21,0.0
2017-01-03 05:50:00,29.53,-18,-15,83.0,6.21,0.0
2017-01-03 06:50:00,29.53,-18,-15,83.0,43.5,0.0
2017-01-03 07:50:00,29.53,-20,-17,83.0,43.5,1.0
2017-01-03 08:50:00,29.53,-18,-15,83.0,43.5,0.0
2017-01-03 09:50:00,29.53,-20,-17,83.0,43.5,0.0
2017-01-03 10:50:00,29.53,-18,-15,83.0,6.21,1.0
2017-01-03 11:50:00,29.53,-17,-13,83.0,6.21,1.0
2017-01-03 12:50:00,29.53,-15,-11,84.0,6.21,0.0
2017-01-03 13:50:00,29.53,-15,-11,84.0,6.21,0.0
2017-01-03 14:50:00,29.53,-15,-11,84.0,6.21,2.0
2017-01-03 15:50:00,29.56,-11,-8,84.0,6.21,2.0
2017-01-03 16:50:00,29.59,3,7,85.0,6.21,6.0
2017-01-03 17:50:00,29.62,3,9,78.0,6.21,8.0
2017-01-03 18:50:00,29.62,3,10,72.0,6.21,8.0
2017-01-03 19:50:00,29.65,1,9,72.0,6.21,3.0
2017-01-03 20:50:00,29.68,1,10,67.0,6.21,7.0
2017-01-03 21:50:00,29.71,1,9,72.0,6.21,5.0
2017-01-03 22:50:00,29.71,0,9,66.0,6.21,8.0
2017-01-03 23:50:00,29.77,0,9,66.0,6.21,5.0
2017-01-04 00:50:00,29.80,0,7,72.0,6.21,7.0
2017-01-04 01:50:00,29.83,-2,7,66.0,6.21,6.0
2017-01-04 02:50:00,29.83,-2,5,72.0,6.21,3.0
2017-01-04 03:50:00,29.85,-11,-8,84.0,6.21,2.0
